,"bot_0 (0.01 - 0.7)","bot_1 (0.01 - 0.8)","bot_2 (0.01 - 0.9)","bot_3 (0.03 - 0.75)","bot_4 (0.03 - 0.85)","bot_5 (0.03 - 0.95)","bot_6 (0.05 - 0.75)","bot_7 (0.05 - 0.85)","bot_8 (0.05 - 0.95)","bot_9 (0.1 - 0.75)","bot_10 (0.1 - 0.85)","bot_11 (0.1 - 0.95)","bot_12 (0.15 - 0.8)","bot_13 (0.2 - 0.9)"
"bot_0 (0.01 - 0.7)",X,1.0,0.8234,0.0,0.0,0.0,0.2433,0.001,0.0,0.7398,0.0,0.0,0.5053,0.4983
"bot_1 (0.01 - 0.8)",0.0,X,1.0,0.1024,0.4961,0.0044,0.3212,0.0,0.4305,0.0,0.0,0.0201,0.0,0.0
"bot_2 (0.01 - 0.9)",0.0279,0.0,X,0.4997,0.3125,0.0,0.4509,0.0,0.2673,0.0,0.0,0.0,0.0,0.0
"bot_3 (0.03 - 0.75)",1.0,0.3985,0.5003,X,0.4997,0.6268,0.1639,0.0,0.4995,0.0,0.0,0.0,0.9528,0.0
"bot_4 (0.03 - 0.85)",1.0,0.5039,0.5446,0.5003,X,0.4954,0.4994,0.4997,0.4698,0.4931,0.5014,0.4924,0.0255,0.0
"bot_5 (0.03 - 0.95)",1.0,0.8226,1.0,0.0,0.5046,X,0.5012,0.4981,0.0,0.4957,0.5052,0.1015,0.0,0.5022
"bot_6 (0.05 - 0.75)",0.5799,0.636,0.5464,0.7118,0.5006,0.4988,X,0.0,0.0,0.0,0.0,0.0,0.4989,0.0
"bot_7 (0.05 - 0.85)",0.9284,1.0,1.0,1.0,0.5003,0.5019,1.0,X,0.4996,0.0,0.0,0.0,0.0,0.0
"bot_8 (0.05 - 0.95)",0.9689,0.4667,0.7221,0.5005,0.526,1.0,0.5043,0.5004,X,0.5018,0.49,0.5194,0.5031,0.4859
"bot_9 (0.1 - 0.75)",0.1965,1.0,1.0,1.0,0.5069,0.5043,1.0,0.4889,0.4982,X,0.4877,0.5026,0.0,0.4937
"bot_10 (0.1 - 0.85)",1.0,1.0,1.0,1.0,0.4986,0.4948,1.0,1.0,0.51,0.5123,X,0.0,0.499,0.4975
"bot_11 (0.1 - 0.95)",0.9991,0.6158,1.0,1.0,0.5076,0.8202,1.0,1.0,0.48,0.4974,1.0,X,0.4967,1.0
"bot_12 (0.15 - 0.8)",0.4941,1.0,1.0,0.0,0.9734,1.0,0.5011,1.0,0.4969,1.0,0.0,0.4619,X,0.5038
"bot_13 (0.2 - 0.9)",0.5017,1.0,1.0,1.0,0.9982,0.4978,1.0,1.0,0.5141,0.5063,0.5025,0.0,0.4962,X
