,"bot_0 (0.01, 0.7)","bot_1 (0.01, 0.8)","bot_2 (0.01, 0.9)","bot_3 (0.03, 0.75)","bot_4 (0.03, 0.85)","bot_5 (0.03, 0.95)","bot_6 (0.05, 0.75)","bot_7 (0.05, 0.85)","bot_8 (0.05, 0.95)","bot_9 (0.1, 0.75)","bot_10 (0.1, 0.85)","bot_11 (0.1, 0.95)","bot_12 (0.15, 0.8)","bot_13 (0.2, 0.9)"
"bot_0 (0.01, 0.7)",X,0.2648,0.3373,0.5025,0.8172,0.3364,0.2336,0.0009,0.0,0.4961,0.4996,0.3824,0.0224,0.0
"bot_1 (0.01, 0.8)",0.5012,X,0.5082,0.511,0.495,0.499,0.5008,0.5065,0.5008,0.0,0.0,0.0,0.0,0.2048
"bot_2 (0.01, 0.9)",0.5363,0.4918,X,0.0,0.0,0.327,0.5019,0.0,0.1727,0.501,0.4983,0.0,0.0,0.1645
"bot_3 (0.03, 0.75)",0.4975,0.0,1.0,X,1.0,0.4996,0.6754,0.0,0.313,0.4987,0.5015,0.0,0.102,0.3751
"bot_4 (0.03, 0.85)",0.1677,0.0,1.0,0.0,X,1.0,0.0,0.4998,0.0155,0.0911,0.0332,0.0,0.0,0.0
"bot_5 (0.03, 0.95)",0.4941,0.501,0.6533,0.5004,0.0,X,0.7856,0.5029,0.6103,0.8761,0.5191,0.4984,0.0,0.0358
"bot_6 (0.05, 0.75)",0.5839,0.0,0.4981,0.196,1.0,0.1378,X,0.0,0.0,0.0,0.2296,0.0,0.5028,0.0
"bot_7 (0.05, 0.85)",0.994,0.4935,1.0,1.0,0.5002,0.4971,1.0,X,1.0,0.0,0.0,0.0,0.5035,0.0
"bot_8 (0.05, 0.95)",0.5003,0.4992,0.786,0.506,0.9539,0.3369,1.0,0.0,X,0.4892,0.4987,0.0,0.8674,0.0
"bot_9 (0.1, 0.75)",0.5017,0.4901,0.499,0.5013,0.8234,0.0,0.7526,1.0,0.5108,X,0.0,0.0,0.4408,0.0
"bot_10 (0.1, 0.85)",0.4981,1.0,0.5017,0.4985,0.7598,0.4021,0.5781,0.7078,0.4997,1.0,X,0.4998,0.4958,0.4936
"bot_11 (0.1, 0.95)",0.6176,1.0,1.0,1.0,1.0,0.5016,1.0,1.0,1.0,1.0,0.5002,X,0.4893,0.5025
"bot_12 (0.15, 0.8)",0.9771,1.0,1.0,0.833,1.0,1.0,0.4972,0.4946,0.0983,0.5188,0.5042,0.5078,X,0.4921
"bot_13 (0.2, 0.9)",1.0,0.643,0.4969,0.5654,1.0,0.9329,1.0,1.0,0.9998,1.0,0.5064,0.4966,0.5079,X
