,"bot_0 (0.01, 0.7)","bot_1 (0.01, 0.8)","bot_2 (0.01, 0.9)","bot_3 (0.03, 0.75)","bot_4 (0.03, 0.85)","bot_5 (0.03, 0.95)","bot_6 (0.05, 0.75)","bot_7 (0.05, 0.85)","bot_8 (0.05, 0.95)","bot_9 (0.1, 0.75)","bot_10 (0.1, 0.85)","bot_11 (0.1, 0.95)","bot_12 (0.15, 0.8)","bot_13 (0.2, 0.9)"
"bot_0 (0.01, 0.7)",X,0.0032,0.7761,0.1436,0.2203,0.7984,0.7204,0.0032,1.0,0.1794,0.4949,0.0,0.2865,0.0006
"bot_1 (0.01, 0.8)",0.9968,X,0.5046,0.5027,0.4962,0.4996,0.0,0.0,0.0,0.5107,0.0,0.4923,0.0,0.0
"bot_2 (0.01, 0.9)",0.0557,0.4954,X,0.0,0.4969,0.4982,0.0,0.5028,0.0,0.0,0.5027,0.1833,0.0,0.0
"bot_3 (0.03, 0.75)",0.0029,0.0826,1.0,X,1.0,0.0,0.3075,0.4955,0.2208,0.3986,0.5025,0.4969,0.0,0.0
"bot_4 (0.03, 0.85)",0.7797,0.5038,0.5031,0.0,X,1.0,1.0,0.4939,0.2422,0.2509,0.0,1.0,0.5052,0.0
"bot_5 (0.03, 0.95)",0.0,0.5004,0.5011,1.0,0.0,X,0.5035,0.5084,0.5027,0.5035,0.0,0.0487,0.0,0.0
"bot_6 (0.05, 0.75)",0.075,0.502,1.0,0.5264,0.0,0.4965,X,0.0,0.0957,0.4932,0.0,0.1562,1.0,0.5075
"bot_7 (0.05, 0.85)",0.4723,1.0,0.4972,0.5045,0.5061,0.4916,1.0,X,0.5044,0.4948,0.5015,0.0,0.0,0.0
"bot_8 (0.05, 0.95)",0.0,0.509,1.0,0.5787,0.5007,0.4973,0.5092,0.4956,X,0.505,0.0,0.7716,0.4977,0.0
"bot_9 (0.1, 0.75)",0.7689,0.4893,1.0,0.5372,0.7395,0.4965,0.5068,0.5052,0.495,X,0.5046,0.5016,0.5001,0.4962
"bot_10 (0.1, 0.85)",0.5051,1.0,0.4973,0.4975,1.0,1.0,0.8542,0.4985,1.0,0.4954,X,0.5035,0.4937,0.4989
"bot_11 (0.1, 0.95)",1.0,0.4836,0.5865,0.5031,0.0,0.9411,0.7829,1.0,0.0379,0.4984,0.4965,X,0.4939,0.5054
"bot_12 (0.15, 0.8)",0.3431,1.0,1.0,0.4969,0.4948,1.0,0.0,0.5016,0.5023,0.4999,0.5063,0.5061,X,0.4972
"bot_13 (0.2, 0.9)",0.9991,1.0,1.0,1.0,0.9856,1.0,0.4925,1.0,1.0,0.5038,0.5011,0.4946,0.5028,X
