,"bot_0 (0.01, 0.7)","bot_1 (0.01, 0.8)","bot_2 (0.01, 0.9)","bot_3 (0.03, 0.75)","bot_4 (0.03, 0.85)","bot_5 (0.03, 0.95)","bot_6 (0.05, 0.75)","bot_7 (0.05, 0.85)","bot_8 (0.05, 0.95)","bot_9 (0.1, 0.75)","bot_10 (0.1, 0.85)","bot_11 (0.1, 0.95)","bot_12 (0.15, 0.8)","bot_13 (0.2, 0.9)"
"bot_0 (0.01, 0.7)",X,0.4969,0.4473,0.0,0.0,0.4951,0.2427,0.0013,0.4533,0.995,0.5029,0.0,0.2059,0.2571
"bot_1 (0.01, 0.8)",0.5031,X,0.0,0.4977,0.0,0.4979,0.0,0.4852,0.0252,0.0,0.0,0.0,0.0,0.0489
"bot_2 (0.01, 0.9)",0.5288,1.0,X,0.508,0.0,0.0,0.0759,0.0,0.7419,0.0,0.0,0.0,0.0,0.5065
"bot_3 (0.03, 0.75)",1.0,0.5023,0.492,X,0.4944,0.4844,0.1875,0.0,0.4966,0.0,0.4942,0.0,0.5024,0.0
"bot_4 (0.03, 0.85)",1.0,1.0,1.0,0.5056,X,0.5019,0.5087,0.0,0.4679,0.2332,0.5755,0.4829,0.2167,0.0
"bot_5 (0.03, 0.95)",0.5043,0.5021,1.0,0.4958,0.4981,X,0.3861,0.5065,0.2015,0.4964,0.3262,0.1049,0.0,0.0
"bot_6 (0.05, 0.75)",0.5785,1.0,0.5039,0.6948,0.4913,0.5968,X,0.502,0.0,0.0,0.0,0.0,0.0,0.5004
"bot_7 (0.05, 0.85)",0.9925,0.5148,1.0,1.0,1.0,0.4935,0.498,X,0.0,0.5,0.0,0.0,0.0,0.0
"bot_8 (0.05, 0.95)",0.4961,0.9711,0.2566,0.5033,0.5291,0.6562,0.5044,1.0,X,0.509,0.1431,0.1938,0.4933,0.4651
"bot_9 (0.1, 0.75)",0.0026,1.0,1.0,1.0,0.7359,0.5036,0.5093,0.5,0.0,X,0.4838,0.5021,0.4629,0.0
"bot_10 (0.1, 0.85)",0.4969,1.0,1.0,0.4952,0.0001,0.6328,1.0,1.0,0.8473,0.4993,X,0.4985,1.0,0.5001
"bot_11 (0.1, 0.95)",0.9944,1.0,1.0,0.4942,0.5171,0.8594,1.0,1.0,0.757,0.4979,0.5015,X,0.4825,0.5267
"bot_12 (0.15, 0.8)",0.7902,0.9414,1.0,0.4976,0.7636,0.5057,1.0,1.0,0.5052,0.4576,0.0,0.5099,X,0.0
"bot_13 (0.2, 0.9)",0.6793,0.9317,0.4935,1.0,1.0,1.0,0.4996,1.0,0.5064,1.0,0.4999,0.3426,1.0,X
