,"bot_0 (0.01, 0.7)","bot_1 (0.01, 0.8)","bot_2 (0.01, 0.9)","bot_3 (0.03, 0.75)","bot_4 (0.03, 0.85)","bot_5 (0.03, 0.95)","bot_6 (0.05, 0.75)","bot_7 (0.05, 0.85)","bot_8 (0.05, 0.95)","bot_9 (0.1, 0.75)","bot_10 (0.1, 0.85)","bot_11 (0.1, 0.95)","bot_12 (0.15, 0.8)","bot_13 (0.2, 0.9)"
"bot_0 (0.01, 0.7)",X,0.5138,0.8305,0.0,0.0,1.0,0.238,0.0008,0.4503,0.9951,0.3298,0.0,0.2109,0.2559
"bot_1 (0.01, 0.8)",0.4862,X,1.0,0.0,0.4966,0.0,0.4956,0.0,0.3625,0.0,0.0,0.0,0.0,0.0
"bot_2 (0.01, 0.9)",0.0284,0.0,X,0.5085,0.0,0.0,0.0712,0.0,0.5029,0.0,0.0,0.0,0.0,0.0851
"bot_3 (0.03, 0.75)",1.0,0.5019,0.4915,X,0.4992,0.4123,0.1777,0.0,0.0,0.0,0.4964,0.0,0.0,0.0
"bot_4 (0.03, 0.85)",1.0,0.5034,1.0,0.5008,X,1.0,0.5009,0.4945,0.0,0.1899,0.5361,0.499,0.2163,0.505
"bot_5 (0.03, 0.95)",0.0,1.0,1.0,0.5705,0.0,X,0.0462,0.5097,0.4968,1.0,0.4999,0.6107,0.5019,0.498
"bot_6 (0.05, 0.75)",0.5736,0.5044,0.5044,0.7021,0.4991,0.8846,X,0.5004,0.0,0.0,0.0,0.0,0.0,0.0
"bot_7 (0.05, 0.85)",0.9927,1.0,1.0,1.0,0.5055,0.4903,0.4996,X,0.0,0.0,0.0,0.0,0.0,0.0
"bot_8 (0.05, 0.95)",0.5082,0.5754,0.4971,1.0,0.5069,0.4346,1.0,1.0,X,0.5612,0.4939,0.05,0.5055,0.4971
"bot_9 (0.1, 0.75)",0.0031,1.0,1.0,1.0,0.7423,0.0,1.0,0.5091,0.353,X,0.0,0.5006,0.5188,0.4999
"bot_10 (0.1, 0.85)",0.4978,1.0,1.0,0.4964,0.0002,0.5001,1.0,1.0,0.5044,1.0,X,0.5032,1.0,0.4964
"bot_11 (0.1, 0.95)",0.995,1.0,1.0,1.0,0.501,0.3544,1.0,1.0,0.8597,0.4994,0.4968,X,0.5035,0.4932
"bot_12 (0.15, 0.8)",0.7867,0.9949,1.0,0.7578,0.7424,0.4981,1.0,1.0,0.4945,0.4467,0.0,0.4965,X,0.4945
"bot_13 (0.2, 0.9)",0.6814,1.0,0.8791,1.0,0.495,0.502,1.0,1.0,0.5029,0.5001,0.5036,0.5068,0.5055,X
