,"bot_0 (0.05, 0.8)","bot_1 (0.05, 0.9)","bot_2 (0.1, 0.8)","bot_3 (0.1, 0.9)","bot_4 (0.15, 0.85)","bot_5 (0.15, 0.95)","bot_6 (0.2, 0.8)","bot_7 (0.2, 0.9)","bot_8 (0.25, 0.85)","bot_9 (0.25, 0.95)","bot_10 (0.3, 0.8)","bot_11 (0.3, 0.9)","bot_12 (0.35, 0.85)","bot_13 (0.35, 0.95)"
"bot_0 (0.05, 0.8)",X,0.002,0.02,0.465,0.047,0.019,0.048,0.409,0.007,0.214,0.0,0.013,0.007,0.318
"bot_1 (0.05, 0.9)",0.998,X,0.312,0.078,0.286,0.076,0.155,0.049,0.187,0.006,0.028,0.001,0.005,0.091
"bot_2 (0.1, 0.8)",0.98,0.688,X,0.432,0.46,0.28,0.617,0.484,0.504,0.075,0.42,0.001,0.017,0.509
"bot_3 (0.1, 0.9)",0.535,0.922,0.568,X,0.002,0.014,0.069,0.397,0.048,0.028,0.015,0.014,0.054,0.254
"bot_4 (0.15, 0.85)",0.953,0.714,0.54,0.998,X,0.381,0.065,0.354,0.036,0.198,0.194,0.014,0.01,0.099
"bot_5 (0.15, 0.95)",0.981,0.924,0.72,0.986,0.619,X,0.719,0.355,0.512,0.174,0.407,0.18,0.032,0.202
"bot_6 (0.2, 0.8)",0.952,0.845,0.383,0.931,0.935,0.281,X,0.492,0.643,0.134,0.512,0.423,0.439,0.17
"bot_7 (0.2, 0.9)",0.591,0.951,0.516,0.603,0.646,0.645,0.508,X,0.704,0.311,0.879,0.499,0.516,0.426
"bot_8 (0.25, 0.85)",0.993,0.813,0.496,0.952,0.964,0.488,0.357,0.296,X,0.063,0.777,0.485,0.512,0.25
"bot_9 (0.25, 0.95)",0.786,0.994,0.925,0.972,0.802,0.826,0.866,0.689,0.937,X,0.532,0.497,0.518,0.515
"bot_10 (0.3, 0.8)",1.0,0.972,0.58,0.985,0.806,0.593,0.488,0.121,0.223,0.468,X,0.509,0.475,0.482
"bot_11 (0.3, 0.9)",0.987,0.999,0.999,0.986,0.986,0.82,0.577,0.501,0.515,0.503,0.491,X,0.532,0.497
"bot_12 (0.35, 0.85)",0.993,0.995,0.983,0.946,0.99,0.968,0.561,0.484,0.488,0.482,0.525,0.468,X,0.528
"bot_13 (0.35, 0.95)",0.682,0.909,0.491,0.746,0.901,0.798,0.83,0.574,0.75,0.485,0.518,0.503,0.472,X
