,"bot_0 (0.01 - 0.7)","bot_1 (0.01 - 0.8)","bot_2 (0.01 - 0.9)","bot_3 (0.03 - 0.75)","bot_4 (0.03 - 0.85)","bot_5 (0.03 - 0.95)","bot_6 (0.05 - 0.75)","bot_7 (0.05 - 0.85)","bot_8 (0.05 - 0.95)","bot_9 (0.1 - 0.75)","bot_10 (0.1 - 0.85)","bot_11 (0.1 - 0.95)","bot_12 (0.15 - 0.8)","bot_13 (0.2 - 0.9)"
"bot_0 (0.01 - 0.7)",X,0.4639,0.3777,0.5031,0.4969,0.9638,0.7402,0.5049,0.0,0.6199,0.0,0.3175,0.2083,0.259
"bot_1 (0.01 - 0.8)",0.4958,X,0.0,0.0,0.5012,0.0,0.0,0.5013,0.5798,0.5029,0.0,0.0,0.0,0.0
"bot_2 (0.01 - 0.9)",0.5194,0.4995,X,0.3541,0.0,0.3961,0.0,0.0,0.37,0.7769,0.0,0.0,0.0,0.0
"bot_3 (0.03 - 0.75)",0.4349,0.4939,0.5074,X,0.8967,0.4792,0.1809,0.4943,0.0,0.4913,0.0,0.0,0.1977,0.0
"bot_4 (0.03 - 0.85)",0.5031,0.4988,1.0,0.0325,X,1.0,0.5,0.502,0.4628,0.0512,0.0,0.0,0.0,0.0
"bot_5 (0.03 - 0.95)",0.0,1.0,0.4919,0.4961,0.0,X,0.4577,0.0,0.4962,0.5,0.4992,0.5529,0.5064,0.5097
"bot_6 (0.05 - 0.75)",0.0841,1.0,1.0,0.7056,0.5,0.5373,X,0.0,0.0,0.0804,0.0,0.0,0.0,0.0
"bot_7 (0.05 - 0.85)",0.4951,0.4987,1.0,0.5057,0.498,1.0,1.0,X,0.0,0.4921,0.0,0.0,0.5362,0.4916
"bot_8 (0.05 - 0.95)",0.9737,0.3817,0.5536,1.0,0.5323,0.5038,0.4861,1.0,X,0.0,0.0,0.0,0.0,0.0
"bot_9 (0.1 - 0.75)",0.2541,0.4971,0.1325,0.5087,0.7205,0.5,0.5006,0.5079,1.0,X,0.505,0.0,0.4742,0.0
"bot_10 (0.1 - 0.85)",0.9895,1.0,1.0,1.0,0.4914,0.5008,1.0,0.9993,1.0,0.495,X,0.0,0.9284,0.4971
"bot_11 (0.1 - 0.95)",0.4953,1.0,1.0,1.0,1.0,0.447,1.0,0.9938,1.0,1.0,1.0,X,0.561,0.5091
"bot_12 (0.15 - 0.8)",0.7884,1.0,0.4997,0.507,1.0,0.4936,1.0,0.3286,1.0,0.4485,0.0338,0.3729,X,0.4999
"bot_13 (0.2 - 0.9)",0.682,1.0,1.0,1.0,1.0,0.4898,1.0,0.508,1.0,1.0,0.5029,0.4909,0.5001,X
