,"bot_0 (0.01 - 0.7)","bot_1 (0.01 - 0.8)","bot_2 (0.01 - 0.9)","bot_3 (0.03 - 0.75)","bot_4 (0.03 - 0.85)","bot_5 (0.03 - 0.95)","bot_6 (0.05 - 0.75)","bot_7 (0.05 - 0.85)","bot_8 (0.05 - 0.95)","bot_9 (0.1 - 0.75)","bot_10 (0.1 - 0.85)","bot_11 (0.1 - 0.95)","bot_12 (0.15 - 0.8)","bot_13 (0.2 - 0.9)"
"bot_0 (0.01 - 0.7)",X,0.3877,0.4996,0.0,0.5033,0.0,0.0,0.0,0.4921,0.5052,0.0,0.0,0.3573,0.0
"bot_1 (0.01 - 0.8)",0.5982,X,1.0,0.503,0.4938,0.2995,0.0,0.0,0.0,0.3106,0.4908,0.0,0.4959,0.5038
"bot_2 (0.01 - 0.9)",0.0,0.0,X,0.7315,0.5027,0.5064,0.5,1.0,1.0,0.0,0.0,0.2292,0.4923,0.0
"bot_3 (0.03 - 0.75)",1.0,0.497,0.2447,X,0.4985,1.0,1.0,1.0,0.0,0.0,0.5032,1.0,1.0,0.0
"bot_4 (0.03 - 0.85)",0.4623,0.5062,0.4973,0.0,X,0.4997,0.5001,0.7524,0.4985,0.174,0.6989,0.4944,0.5621,0.0052
"bot_5 (0.03 - 0.95)",0.5031,0.7005,0.4936,0.0,0.5003,X,1.0,0.5026,0.0,0.0,0.0,1.0,1.0,0.4976
"bot_6 (0.05 - 0.75)",1.0,0.0,0.5,0.0,0.0,0.0,X,0.498,0.5097,1.0,0.5089,1.0,0.4951,0.0
"bot_7 (0.05 - 0.85)",1.0,1.0,0.0,0.0,0.2462,0.4974,0.2497,X,0.0,0.5051,0.0,0.4901,0.0,0.0
"bot_8 (0.05 - 0.95)",0.5079,1.0,0.0,1.0,0.4767,0.7468,0.4903,1.0,X,0.6222,0.0816,1.0,0.4996,0.0
"bot_9 (0.1 - 0.75)",0.4948,0.6363,0.4941,1.0,0.3047,1.0,0.0,0.4949,0.3637,X,1.0,0.4997,0.5054,0.5065
"bot_10 (0.1 - 0.85)",1.0,0.5092,0.9973,0.4968,0.3011,1.0,0.4911,1.0,0.9175,0.0,X,1.0,0.4959,0.0
"bot_11 (0.1 - 0.95)",1.0,0.4967,0.5076,0.0,0.5056,0.0,0.0,0.5099,0.0,0.0,0.0,X,0.5053,0.4946
"bot_12 (0.15 - 0.8)",0.4197,0.5041,0.5077,0.0,0.2524,0.0,0.5049,1.0,0.0,0.4942,0.5041,0.4947,X,1.0
"bot_13 (0.2 - 0.9)",0.9985,0.4962,1.0,1.0,0.9595,0.5024,1.0,1.0,1.0,0.4935,1.0,0.4287,0.0,X
