,"bot_0 (0.01, 0.7)","bot_1 (0.01, 0.8)","bot_2 (0.01, 0.9)","bot_3 (0.03, 0.75)","bot_4 (0.03, 0.85)","bot_5 (0.03, 0.95)","bot_6 (0.05, 0.75)","bot_7 (0.05, 0.85)","bot_8 (0.05, 0.95)","bot_9 (0.1, 0.75)","bot_10 (0.1, 0.85)","bot_11 (0.1, 0.95)","bot_12 (0.15, 0.8)","bot_13 (0.2, 0.9)"
"bot_0 (0.01, 0.7)",X,1.0,0.8293,0.0,0.0,0.4933,0.222,0.0008,0.4558,0.7496,0.0,0.0,0.5008,0.2504
"bot_1 (0.01, 0.8)",0.0,X,1.0,0.1012,0.4931,0.0025,0.0956,0.0,0.5015,0.4952,0.0,0.0011,0.0,0.0
"bot_2 (0.01, 0.9)",0.0286,0.0,X,0.5035,0.4269,0.0,0.4253,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"bot_3 (0.03, 0.75)",1.0,0.3913,0.4965,X,0.5018,0.7464,0.178,0.0125,0.0,0.0,0.0,0.0,1.0,0.0
"bot_4 (0.03, 0.85)",1.0,0.5069,0.5268,0.4982,X,1.0,0.4999,0.4952,0.505,0.5057,0.5036,0.4985,0.2794,0.4922
"bot_5 (0.03, 0.95)",0.5067,0.8248,1.0,0.0,0.0,X,0.0295,0.0,0.3052,0.5036,0.5031,0.0,0.4841,0.0
"bot_6 (0.05, 0.75)",0.6482,0.655,0.5515,0.6978,0.5001,0.8933,X,0.5057,0.0,0.0,0.0,0.0,0.5021,0.0
"bot_7 (0.05, 0.85)",0.9925,1.0,1.0,0.9696,0.5048,1.0,0.4943,X,0.5024,0.0061,0.0,0.0,0.0,0.0
"bot_8 (0.05, 0.95)",0.4991,0.4985,1.0,1.0,0.495,0.6451,1.0,0.4976,X,0.4911,0.4915,0.5001,0.5024,0.5073
"bot_9 (0.1, 0.75)",0.1596,0.5048,1.0,1.0,0.4943,0.4964,1.0,0.5018,0.5089,X,0.9893,0.5012,0.0,0.5001
"bot_10 (0.1, 0.85)",1.0,1.0,1.0,1.0,0.4964,0.4969,1.0,0.4898,0.5085,0.0,X,0.0,0.4981,0.5043
"bot_11 (0.1, 0.95)",0.9917,0.9985,0.5101,1.0,0.5015,1.0,1.0,1.0,0.4999,0.4988,1.0,X,0.4879,1.0
"bot_12 (0.15, 0.8)",0.4992,1.0,1.0,0.0,0.718,0.5088,0.4979,1.0,0.0,1.0,0.0,0.5121,X,0.0229
"bot_13 (0.2, 0.9)",0.6831,1.0,1.0,1.0,0.5071,1.0,1.0,1.0,0.4927,0.4999,0.4957,0.0,0.7674,X
