,bot_0 (0.01 - 0.4),bot_1 (0.01 - 0.5),bot_2 (0.01 - 0.6),bot_3 (0.03 - 0.45),bot_4 (0.03 - 0.55),bot_5 (0.03 - 0.65),bot_6 (0.05 - 0.45),bot_7 (0.05 - 0.55),bot_8 (0.05 - 0.65),bot_9 (0.07 - 0.45),bot_10 (0.07 - 0.55),bot_11 (0.07 - 0.65),bot_12 (0.1 - 0.5),bot_13 (0.1 - 0.6)
bot_0 (0.01 - 0.4),X,0.2082,0.1263,0.328,0.2916,0.0866,0.3749,0.2831,0.1924,0.3375,0.3477,0.2527,0.3225,0.3266
bot_1 (0.01 - 0.5),0.5205,X,0.4312,0.4646,0.5796,0.38,0.5346,0.5422,0.4503,0.4956,0.4185,0.4316,0.5359,0.4416
bot_2 (0.01 - 0.6),0.8737,0.5662,X,0.9282,0.7896,0.4175,1.0,0.7509,0.644,0.9344,1.0,0.6258,0.9783,0.907
bot_3 (0.03 - 0.45),0.1824,0.1427,0.0718,X,0.0496,0.0804,0.1566,0.1342,0.1581,0.1534,0.249,0.1334,0.1999,0.1927
bot_4 (0.03 - 0.55),0.7049,0.4188,0.2104,0.9504,X,0.1535,0.9276,0.6211,0.4009,0.8174,1.0,0.6292,0.8312,0.8965
bot_5 (0.03 - 0.65),0.9133,0.62,0.5825,0.9196,0.8465,X,0.9999,0.7506,0.6987,0.9328,1.0,0.6506,0.99,0.9075
bot_6 (0.05 - 0.45),0.3583,0.2709,0.0,0.543,0.068,0.0,X,0.2491,0.1396,0.3808,0.5671,0.3564,0.4165,0.5004
bot_7 (0.05 - 0.55),0.5341,0.3693,0.2491,0.6325,0.3786,0.2494,0.6092,X,0.3387,0.518,0.7411,0.4716,0.5802,0.648
bot_8 (0.05 - 0.65),0.6629,0.4224,0.356,0.65,0.5977,0.3013,0.7618,0.5754,X,0.663,0.7674,0.4315,0.7427,0.6845
bot_9 (0.07 - 0.45),0.3263,0.2215,0.0655,0.4216,0.1727,0.0672,0.4086,0.3054,0.2383,X,0.4686,0.2595,0.3988,0.3838
bot_10 (0.07 - 0.55),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,X,0.0,0.0,0.0
bot_11 (0.07 - 0.65),0.4072,0.3669,0.3635,0.4165,0.3708,0.3493,0.4068,0.3701,0.3926,0.4108,0.4118,X,0.4114,0.3996
bot_12 (0.1 - 0.5),0.2081,0.1395,0.0217,0.1832,0.149,0.01,0.2507,0.209,0.0995,0.2033,0.2356,0.1595,X,0.2203
bot_13 (0.1 - 0.6),0.1305,0.1191,0.0869,0.135,0.1035,0.0925,0.1383,0.1387,0.0913,0.1311,0.155,0.1259,0.1398,X
